"كد درس","نام درس","كد ارائه کلاس درس","استاد","مقطع ارائه درس","زمانبندي تشکيل کلاس","نوع درس","تعداد واحد نظري","تعداد واحد عملي","نام كلاس درس","نوع ارائه","سطح ارائه","حداقل ظرفيت","حداكثر ظرفيت","زمان امتحان","مكان برگزاري","گروه آموزشی","دانشکده","واحد","استان"
"4293130413","زبان‌ تخصصی‌ نرم‌ افزار","163330468",,"كارشناسي ناپيوسته","سه شنبه از 07:30 تا 09:00","نظري","3","0",,"حضوري","ارائه در سطح گروه آموزشی",,"5","1401/11/04 از 08:00 تا 10:00",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"4293135619","شبیه سازی کامپیوتری","163330467",,"كارشناسي ناپيوسته","جمعه از 07:30 تا 08:00","عملي","2","1",,"حضوري","ارائه در سطح گروه آموزشی",,"0","1401/10/26 از 10:30 تا 12:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"4293168634","طراحی وپیاده سازی زبان های برنامه نویسی","163330466",,"كارشناسي ناپيوسته","شنبه از 12:30 تا 14:45","نظري_عملي","2","1",,"حضوري","ارائه در سطح گروه آموزشی",,"3","1401/11/04 از 13:30 تا 15:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"4293156372","کارآموزی","163330465",,"كارشناسي ناپيوسته",,"كارآموزي","0","3",,"حضوري","ارائه در سطح گروه آموزشی",,"20",,,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"4293151527","مهندسی‌ اینترنت‌","163330464",,"كارشناسي ناپيوسته","يكشنبه از 12:30 تا 14:45","عملي","2","1",,"حضوري","ارائه در سطح گروه آموزشی",,"3","1401/11/04 از 15:30 تا 17:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"4293151527","مهندسی‌ اینترنت‌","163330463",,"كارشناسي ناپيوسته","يكشنبه از 14:45 تا 17:00","عملي","2","1",,"حضوري","ارائه در سطح گروه آموزشی",,"3","1401/11/04 از 15:30 تا 17:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"4293142463","گرافیک‌ کامپیوتری‌ 1","163330462",,"كارشناسي ناپيوسته","شنبه از 07:30 تا 09:45","عملي","2","1",,"حضوري","ارائه در سطح گروه آموزشی",,"3","1401/11/05 از 13:30 تا 15:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"4293142463","گرافیک‌ کامپیوتری‌ 1","163330461",,"كارشناسي ناپيوسته","شنبه از 12:30 تا 14:45","عملي","2","1",,"حضوري","ارائه در سطح گروه آموزشی",,"3","1401/11/05 از 13:30 تا 15:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"4293150474","معماری‌ کامپیوتر","163330460",,"كارشناسي ناپيوسته","يكشنبه از 09:45 تا 12:00","نظري","2","0",,"حضوري","ارائه در سطح گروه آموزشی",,"3","1401/10/26 از 13:30 تا 15:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"4293150474","معماری‌ کامپیوتر","163330459",,"كارشناسي ناپيوسته","شنبه از 12:30 تا 14:45","نظري","2","0",,"حضوري","ارائه در سطح گروه آموزشی",,"3","1401/10/26 از 13:30 تا 15:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
