"كد درس","نام درس","استاد","كد ارائه کلاس درس","مقطع ارائه درس","حداكثر ظرفيت","تعداد واحد نظري","تعداد واحد عملي","نوع درس","نام كلاس درس","نوع ارائه","سطح ارائه","حداقل ظرفيت","تعداد ثبت نامي تاکنون","زمانبندي تشکيل کلاس","زمان امتحان","ساير اساتيد","مكان برگزاري","دانشجويان مجاز به اخذ کلاس","گروه آموزشی","دانشکده","واحد","استان"
"99093","زبان انگلیسی پیش دانشگاهی-ترکیبی",,"4009","كارشناسي پيوسته","200","2","0","نظري",,"آموزش الکترونیکی","ارائه در سطح دانشکده",,,,"1402/03/29 از 09:30 تا 11:00",,,,"گروه آموزشي دروس عمومی(7116399)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"99093","زبان انگلیسی پیش دانشگاهی-ترکیبی",,"4008","كارشناسي پيوسته","200","2","0","نظري",,"آموزش الکترونیکی","ارائه در سطح دانشکده",,,,"1402/03/29 از 09:30 تا 11:00",,,,"گروه آموزشي دروس عمومی(7116399)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"99093","زبان انگلیسی پیش دانشگاهی-ترکیبی",,"4007","كارشناسي پيوسته","200","2","0","نظري",,"آموزش الکترونیکی","ارائه در سطح دانشکده",,,,"1402/03/29 از 09:30 تا 11:00",,,,"گروه آموزشي دروس عمومی(7116399)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"99093","زبان انگلیسی پیش دانشگاهی-ترکیبی",,"4006","كارشناسي پيوسته","200","2","0","نظري",,"آموزش الکترونیکی","ارائه در سطح دانشکده",,,,"1402/03/29 از 09:30 تا 11:00",,,,"گروه آموزشي دروس عمومی(7116399)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"99093","زبان انگلیسی پیش دانشگاهی-ترکیبی",,"4005","كارشناسي پيوسته","200","2","0","نظري",,"آموزش الکترونیکی","ارائه در سطح دانشکده",,,,"1402/03/29 از 09:30 تا 11:00",,,,"گروه آموزشي دروس عمومی(7116399)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"99093","زبان انگلیسی پیش دانشگاهی-ترکیبی",,"4004","كارشناسي پيوسته","200","2","0","نظري",,"آموزش الکترونیکی","ارائه در سطح دانشکده",,,,"1402/03/29 از 09:30 تا 11:00",,,,"گروه آموزشي دروس عمومی(7116399)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"99093","زبان انگلیسی پیش دانشگاهی-ترکیبی",,"4003","كارشناسي پيوسته","200","2","0","نظري",,"آموزش الکترونیکی","ارائه در سطح دانشکده",,,,"1402/03/29 از 09:30 تا 11:00",,,,"گروه آموزشي دروس عمومی(7116399)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"99093","زبان انگلیسی پیش دانشگاهی-ترکیبی",,"4002","كارشناسي پيوسته","200","2","0","نظري",,"آموزش الکترونیکی","ارائه در سطح دانشکده",,,,"1402/03/29 از 09:30 تا 11:00",,,,"گروه آموزشي دروس عمومی(7116399)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"99093","زبان انگلیسی پیش دانشگاهی-ترکیبی",,"4001","كارشناسي پيوسته","200","2","0","نظري",,"آموزش الکترونیکی","ارائه در سطح دانشکده",,,,"1402/03/29 از 09:30 تا 11:00",,,,"گروه آموزشي دروس عمومی(7116399)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"99093","زبان انگلیسی پیش دانشگاهی-ترکیبی",,"4000","كارشناسي پيوسته","200","2","0","نظري",,"آموزش الکترونیکی","ارائه در سطح دانشکده",,,,"1402/03/29 از 09:30 تا 11:00",,,,"گروه آموزشي دروس عمومی(7116399)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
