"كد درس","نام درس","نوع درس","تعداد واحد نظري","تعداد واحد عملي","كد ارائه کلاس درس","نام كلاس درس","مقطع ارائه درس","نوع ارائه","سطح ارائه","حداقل ظرفيت","حداكثر ظرفيت","تعداد ثبت نامي تاکنون","زمانبندي تشکيل کلاس","زمان امتحان","استاد","ساير اساتيد","مكان برگزاري","دانشجويان مجاز به اخذ کلاس","گروه آموزشی","دانشکده","واحد","استان"
"90881","آشنایی با دفاع مقدس","نظري","2","0","163811388","برادران-آزاد","كارشناسي پيوسته","حضوري","ارائه در سطح دانشکده","","45","","چهارشنبه  از 16:30 تا 18:15","1403/04/12 از 14:30 تا 16:00","سمیه امیری","","دانشکده مهندسی دو-209","","گروه آموزشي دروس عمومي(7116399)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"90881","آشنایی با دفاع مقدس","نظري","2","0","163811387","خواهران-آزاد","كارشناسي پيوسته","حضوري","ارائه در سطح دانشکده","","45","","چهارشنبه  از 14:45 تا 16:30","1403/04/12 از 14:30 تا 16:00","سمیه امیری","","دانشکده مهندسی دو-209","","گروه آموزشي دروس عمومي(7116399)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"90881","آشنایی با دفاع مقدس","نظري","2","0","163811386","خواهران- آزاد","كارشناسي پيوسته","حضوري","ارائه در سطح دانشکده","","45","","چهارشنبه  از 13:00 تا 14:45","1403/04/12 از 14:30 تا 16:00","سمیه امیری","","دانشکده مهندسی دو-209","","گروه آموزشي دروس عمومي(7116399)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"99073","اندیشه ها و وصایای امام خمینی(ره)","نظري","1","0","163811372","خواهران-دکتر فقیهی","كارشناسي پيوسته","حضوري","ارائه در سطح دانشکده","","45","","سه شنبه  از 16:30 تا 18:15","1403/04/12 از 13:15 تا 14:30","حمید محمودیان عطاآبادی","","دانشکده مهندسی دو-210","","گروه آموزشي دروس عمومي(7116399)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"99073","اندیشه ها و وصایای امام خمینی(ره)","نظري","1","0","163811371","برادران-دکتر فقیهی","كارشناسي پيوسته","حضوري","ارائه در سطح دانشکده","","45","","سه شنبه  از 14:45 تا 16:30","1403/04/12 از 13:15 تا 14:30","حمید محمودیان عطاآبادی","","دانشکده مهندسی دو-210","","گروه آموزشي دروس عمومي(7116399)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"99062","ورزش 1","عملي","0","1","16367131791","خواهران","كارشناسي پيوسته","حضوري","ارائه در سطح دانشکده","","22","","سه شنبه  از 18:00 تا 19:30","1403/03/20 از 08:00 تا 10:00","مریم خیرده","","","","گروه آموزشي دروس عمومي(7116399)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"99062","ورزش 1","عملي","0","1","16367131790","خواهران","كارشناسي پيوسته","حضوري","ارائه در سطح دانشکده","","22","","سه شنبه  از 16:30 تا 18:00","1403/03/13 از 08:00 تا 10:00","مریم خیرده","","","","گروه آموزشي دروس عمومي(7116399)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"99062","ورزش 1","عملي","0","1","16367131789","خواهران","كارشناسي پيوسته","حضوري","ارائه در سطح دانشکده","","22","","سه شنبه  از 15:00 تا 16:30","1403/03/13 از 08:00 تا 10:00","مریم خیرده","","","","گروه آموزشي دروس عمومي(7116399)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"99062","ورزش 1","عملي","0","1","16367131788","خواهران","كارشناسي پيوسته","حضوري","ارائه در سطح دانشکده","","22","","سه شنبه  از 13:30 تا 15:00","1403/03/13 از 08:00 تا 10:00","مریم خیرده","","","","گروه آموزشي دروس عمومي(7116399)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"99079","تربیت بدنی","نظري_عملي","0.5","0.5","163671367","","كارشناسي پيوسته","حضوري","ارائه در سطح دانشکده","","22","","سه شنبه  از 18:00 تا 19:30","1403/03/12 از 08:00 تا 10:00","سحر ریاستی","","163 - شيراز-ورزشی پردیس 1 سالن ب","","گروه آموزشي دروس عمومي(7116399)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
